title|episodes|rate|genre|
Kokoro Connect|13|4.47|drama, romance, slice of life|
Tsukigakirei|13|4.82|drama, romance, slice of life|
GLASSLIP|13|2.83|drama, romance, slice of life|
One Week Friends||4.67|drama, romance, slice of life|
OneRoom|25|2.74|drama, romance, slice of life|
Break Ups||4.8|drama, romance, slice of life|
I've Always Liked You|1|4.22|drama, romance, slice of life|
The Moment You Fall in Love|1|4.9|drama, romance, slice of life|
True Tears||4.67|drama, romance, slice of life|
Flowers of Evil|13|4.24|drama, romance, shonen, thriller|
A Town Where You Live||3.94|drama, romance, shonen|
Orange|26|4.55|drama, romance, shojo, supernatural|
"Say ""I love you."""|13|4.57|drama, romance, shojo, slice of life|
Netsuzou Trap -NTR-|12|3.4|drama, romance, shojo, slice of life|
ReLIFE|17|4.85|drama, romance, seinen, slice of life|
Recovery of a MMO Junkie|23|4.72|drama, romance, seinen, slice of life|
Jin Roh||4.5|drama, romance, sci-fi, thriller|
The Place Promised In Our Early Days||4.84|drama, romance, sci-fi|
Plastic Memories|13|4.63|drama, romance, sci-fi|
KIZNAIVER|12|4.17|drama, romance, sci-fi|
Classroom☆Crisis|13|4.29|drama, romance, sci-fi|
Hanasakeru Seishonen||4.81|drama, romance|
5 Centímetros por Segundo||4.84|drama, romance|
citrus|12|4.24|drama, romance|
Domestic Girlfriend|12|4.4|drama, romance|
March comes in like a lion|45|4.79|drama, romance|
Our love has always been 1 centimeters apart.|6|4.5|drama, romance|
Junjo Romantica||4.79|drama, romance|
From The New World|25|4.66|drama, postapocalyptic, sci-fi, supernatural, thriller|
Toward the Terra||4.67|drama, postapocalyptic, sci-fi, shonen, supernatural|
ERASED|13|4.86|drama, mystery, thriller|
Beautiful Bones -Sakurako's Investigation-|12|4.56|drama, mystery, thriller|
Strange+|24|3.5|drama, mystery, thriller|
King's Game|12|2.4|drama, mystery, supernatural, thriller|
Sarazanmai|11|4.44|drama, mystery, supernatural, thriller|
The Perfect Insider|11|3.88|drama, mystery, sci-fi, seinen, thriller|
Holmes of Kyoto|12|4.13|drama, mystery, romance, slice of life|
AMNESIA||3.5|drama, mystery, romance|
Book Girl|1|4.9|drama, mystery, romance|
Divine Gate||4|drama, mystery, romance|
