title|episodes|rate|genre|
Gonna Be the Twin-Tail!!||3.62|action, comedy, romance, sci-fi|
DNA^2||3.38|action, comedy, romance, sci-fi|
Black Butler: Book of Circus|1|4.84|action, comedy, mystery, supernatural|
Cat's Eye||4|action, comedy, mystery, romance|
Full Metal Panic? Fumoffu||4.6|action, comedy, mechas, slice of life|
Gurren Lagann||4.85|action, comedy, mechas, postapocalyptic, sci-fi|
Samurai Pizza Cats||4.89|action, comedy, historical, sci-fi, shonen|
When Supernatural Battles Became Commonplace|12|4.16|action, comedy, harem, romance, slice of life, supernatural|
Hayate the Combat Butler!|24|4.29|action, comedy, harem, romance, slice of life|
Mob Psycho 1|54|4.82|action, comedy, fantasy, supernatural|
TO BE HERO|12|4.53|action, comedy, fantasy, supernatural|
Senyu.|26|4.35|action, comedy, fantasy, shonen|
Squishy! Black Clover|8|2.8|action, comedy, fantasy, shonen|
SPACE PATROL LULUCO|14|4.6|action, comedy, fantasy, romance, sci-fi|
Fantasista Doll||3.64|action, comedy, fantasy, magical girls, sci-fi|
Problem Children are Coming from Another World, aren't they?|1|4.6|action, comedy, fantasy, isekai|
TRINITY SEVEN|14|4.25|action, comedy, fantasy, harem, romance, shonen, supernatural|
Hundred|12|3.5|action, comedy, fantasy, harem, romance, sci-fi|
Demon King Daimao||4.72|action, comedy, fantasy, harem, romance|
Bladedance of Elementalers|12|3.63|action, comedy, fantasy, harem, romance|
Hina Logic - from Luck & Logic|12|4.3|action, comedy, fantasy|
VS Knight Lamune & 4 Fire||5|action, comedy, fantasy|
Stella Women’s Academy, High School Division Class C3||4.23|action, comedy, drama, shonen, slice of life, sports|
Anime Crimes Division|6|4.19|action, comedy, drama, sci-fi|
R.O.D.||4.62|action, comedy, drama, sci-fi|
Kimagure Orange Road||5|action, comedy, drama, romance, supernatural|
Hamatora|24|4.17|action, comedy, drama, mystery, supernatural|
Planet With|12|4.57|action, comedy, drama, mechas, sci-fi, seinen|
Full Metal Panic!||4.77|action, comedy, drama, mechas, sci-fi|
FLCL|12|3.67|action, comedy, drama, mechas, sci-fi|
Bungo Stray Dogs|63|4.63|action, comedy, drama, historical, seinen, supernatural|
Samurai Jam-Bakumatsu Rock|12|4.29|action, comedy, drama, historical, idols, music, sci-fi|
Bakemonogatari||4.44|action, comedy, drama, harem, mystery, seinen, supernatural|
Angel Beats|13|4.69|action, comedy, drama, fantasy, romance|
Touken Ranbu - Hanamaru|24|4|action, comedy, drama, fantasy, historical, slice of life|
Monogatari S2|1|4.89|action, comedy, drama, fantasy, harem, supernatural, thriller|
Owarimonogatari|15|4.74|action, comedy, drama, fantasy, harem, supernatural, thriller|
Nekomonogatari Black|4|4.33|action, comedy, drama, fantasy, harem, supernatural, thriller|
Tsukimonogatari|1|4.86|action, comedy, drama, fantasy, harem, supernatural|
Date A Live||4.43|action, comedy, drama, fantasy, harem, romance, sci-fi|
Nisemonogatari||4.67|action, comedy, drama, fantasy, harem, mystery, seinen, supernatural|
Aoharu x Machinegun||4.45|action, comedy, drama|
Cardfight!! Vanguard G||3.43|action, comedy, drama|
Ramen Fighter Miki||4.6|action, comedy|
Pop Team Epic|16|3.92|action, comedy|
Dog Days|26|4.3|action, comedy|
Cheating Craft|12|3|action, comedy|
Tokyo ESP||2.86|action, comedy|
Katana Maidens ~ Mini Toji|11|5|action, comedy|
Gakuen Basara: Samurai High School||5|action, comedy|
Kamen no Maid Guy||5|action, comedy|
Dororo Motion Magazine||4.64|action, adventure, supernatural|
W'z|13|4.25|action, adventure, supernatural|
Beyblade: Metal Fusion||5|action, adventure, sports|
Flame of Recca||5|action, adventure, shonen, supernatural|
Fist of the Blue Sky: Regenesis|24|2.72|action, adventure, shonen|
Children of Ether|1|4.12|action, adventure, seinen|
THE UNLIMITED Hyobu Kyosuke|12|4.74|action, adventure, sci-fi, supernatural|
The Reflection|12|3.36|action, adventure, sci-fi|
Chargeman Ken||2.5|action, adventure, sci-fi|
EAT-MAN||2.75|action, adventure, sci-fi|
EAT-MAN '98||5|action, adventure, sci-fi|
Cosmo Warrior Zero||1|action, adventure, sci-fi|
Fist of the North Star: The Movie||3.67|action, adventure, postapocalyptic, sci-fi, shonen|
LUPIN THE 3rd PART4|26|4.89|action, adventure, mystery, seinen|
LUPIN THE 3rd PART 5|24|4.88|action, adventure, mystery, seinen|
Lupin the Third Part 2||5|action, adventure, mystery, seinen|
Lupin the Third Part 1||4.17|action, adventure, mystery, seinen|
Lupin the Third Part 3||4.67|action, adventure, mystery, seinen|
Sherlock Hound||4.56|action, adventure, mystery|
The Legend of Black Heaven||4.25|action, adventure, music, sci-fi|
SD GUNDAM WORLD SANGOKU SOKETSUDEN|7|2.86|action, adventure, mechas, shonen|
Mazinkaiser SKL||4.12|action, adventure, mechas, sci-fi, shonen|
Go Lion||4.65|action, adventure, mechas, sci-fi|
Fafner Exodus|26|4.18|action, adventure, mechas, sci-fi|
Pilot Candidate||2.2|action, adventure, mechas, sci-fi|
Super Robot Wars: Original Generation||3.33|action, adventure, mechas, sci-fi|
God Mars||3|action, adventure, mechas, sci-fi|
Total Eclipse|25|3.68|action, adventure, mechas|
Knight’s & Magic|13|3.97|action, adventure, isekai, mechas, sci-fi|
Symphogear|65|4.63|action, adventure, idols, music, sci-fi|
PEACE MAKER KUROGANE|1|3|action, adventure, historical, shonen|
Norn9||2.8|action, adventure, historical, sci-fi|
Rurouni Kenshin||4.8|action, adventure, historical, romance, shonen|
Chaika –The Coffin Princess-|22|4.29|action, adventure, fantasy, supernatural|
The Dragon Dentist|2|4.21|action, adventure, fantasy, supernatural|
Ushio and Tora|39|4.57|action, adventure, fantasy, shonen, supernatural|
Yu-Gi-Oh!|3|4.24|action, adventure, fantasy, shonen, supernatural|
Yu-Gi-Oh! GX||4.29|action, adventure, fantasy, shonen, supernatural|
One Piece|1135|4.7|action, adventure, fantasy, shonen|
BORUTO: NARUTO NEXT GENERATIONS|148|3.21|action, adventure, fantasy, shonen|
Magi|25|4.69|action, adventure, fantasy, shonen|
RADIANT|42|3.77|action, adventure, fantasy, shonen|
Z/X IGNITION|12|4|action, adventure, fantasy, shonen|
GATE|24|4.33|action, adventure, fantasy, seinen|
Soul Hunter||4|action, adventure, fantasy, sci-fi, shonen|
Phantasy Star Online 2 The Animation|12|3.41|action, adventure, fantasy, sci-fi|
Ange Vierge|12|2.63|action, adventure, fantasy, sci-fi|
Twin Star Exorcists|5|3.88|action, adventure, fantasy, romance, shonen, supernatural|
Inuyasha||5|action, adventure, fantasy, romance|
Inuyasha the Movie 3: Swords of an Honorable Ruler|||action, adventure, fantasy, romance|
Inuyasha the Movie 2: The Castle Beyond the Looking Glass|||action, adventure, fantasy, romance|
Inuyasha the Movie:  Affections Touching Across Time|||action, adventure, fantasy, romance|
Inuyasha the Movie 4: Fire On the Mystic Island|||action, adventure, fantasy, romance|
Rokka no Yuusha|24|3.91|action, adventure, fantasy, mystery, thriller|
Sorcery in the Big City|1|3.75|action, adventure, fantasy, mystery, supernatural|
PandoraHearts||4.5|action, adventure, fantasy, mystery, shonen, thriller|
Blast of Tempest||4.48|action, adventure, fantasy, mystery, shonen|
Overlord|39|4.62|action, adventure, fantasy, isekai, supernatural|
That Time I Got Reincarnated as a Slime|27|4.65|action, adventure, fantasy, isekai, slice of life|
Arata the Legend||3.38|action, adventure, fantasy, isekai, romance|
High School Prodigies Have It Easy Even In Another World|12|3.16|action, adventure, fantasy, isekai|
Xuan Yuan Sword Luminary|13|3.3|action, adventure, fantasy, historical, supernatural|
Saga of Tanya the Evil|27|4.53|action, adventure, fantasy, historical|
Mushibugyo|26|4.51|action, adventure, fantasy, historical|
Soul Buster|12|2.65|action, adventure, fantasy, historical|
The Asterisk War|24|3.64|action, adventure, fantasy, harem, sci-fi|
Lord Marksman and Vanadis||4.9|action, adventure, fantasy, harem, historical, romance|
GOBLIN SLAYER|13|4.48|action, adventure, fantasy|
Saint Seiya The Lost Canvas||4.74|action, adventure, fantasy|
Akashic Records of Bastard Magic Instructor|24|4.1|action, adventure, fantasy|
Blade and Soul|13|3.2|action, adventure, fantasy|
Cerberus|13|2.33|action, adventure, fantasy|
Chain Chronicle - The Light of Haecceitas -|24|3.38|action, adventure, fantasy|
Momo Kyun Sword|12|3.31|action, adventure, fantasy|
Grimms Notes the Animation|12|2.48|action, adventure, fantasy|
DRAGON COLLECTION||4|action, adventure, fantasy|
Shining Tears X Wind||2.62|action, adventure, fantasy|
Alice & Zoroku|13|4.42|action, adventure, drama, slice of life, supernatural|
Spiritpact|22|3.75|action, adventure, drama, seinen, supernatural|
Arpeggio of Blue Steel||4.44|action, adventure, drama, sci-fi, seinen|
Captain Harlock: Arcadia of my Youth - Endless Orbit SSX|||action, adventure, drama, sci-fi|
Princess Knight||3|action, adventure, drama, romance, shojo|
The Pilot's Love Song|13|4.28|action, adventure, drama, romance|
The Princess and the Pilot||4.25|action, adventure, drama, romance|
Galilei Donna|11|3.41|action, adventure, drama, mystery, sci-fi|
Space Warrior Baldios|||action, adventure, drama, mechas, postapocalyptic, sci-fi|
Sword Art Online Alternative: Gun Gale Online|13|3.73|action, adventure, drama, isekai, sci-fi|
Golden Kamuy|24|4.68|action, adventure, drama, historical, mystery, seinen, slice of life|
YUKI YUNA IS A HERO|12|4.38|action, adventure, drama, fantasy, supernatural|
SAIYUKI RELOAD BLAST|12|4.52|action, adventure, drama, fantasy, supernatural|
Fullmetal Alchemist: Brotherhood|64|4.93|action, adventure, drama, fantasy, shonen, thriller|
Os Cavaleiros do Zodíaco - Alma de Ouro|13|4.18|action, adventure, drama, fantasy, shonen|
Fullmetal Alchemist: The Conqueror of Shamballa|1|3.6|action, adventure, drama, fantasy, shonen|
Log Horizon|5|4.55|action, adventure, drama, fantasy, sci-fi|
RWBY VOLUME 1-3: The Beginning|13|3.35|action, adventure, drama, fantasy, sci-fi|
Chrono Crusade||4.22|action, adventure, drama, fantasy, romance, supernatural|
Conception|12|2.32|action, adventure, drama, fantasy, romance, sci-fi|
Attack on Titan|6|4.73|action, adventure, drama, fantasy, postapocalyptic, thriller|
Kino no Tabi -the Beautiful World- the Animated Series|12|4.54|action, adventure, drama, fantasy, mystery, seinen, slice of life|
Broken Blade||4.59|action, adventure, drama, fantasy, mechas, sci-fi, shonen|
Gargantia on the Verdurous Planet|17|4.57|action, adventure, drama, fantasy, mechas, sci-fi|
The Rising of the Shield Hero|25|4.72|action, adventure, drama, fantasy, isekai, seinen|
AKB48|26|4.68|action, adventure, drama, fantasy, idols, music, sci-fi|
Samurai Troopers||4.91|action, adventure, drama, fantasy, historical, shonen, supernatural|
Akame ga Kill!|24|4.27|action, adventure, drama, fantasy|
Alderamin on the Sky|13|4.54|action, adventure, drama, fantasy|
FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE|1|3.5|action, adventure, drama, fantasy|
The Tenth Prism (Motion Manga)||4|action, adventure, drama, fantasy|
The Adventures of the Little Prince|||action, adventure, drama, fantasy|
URAHARA|12|3.39|action, adventure, comedy, sci-fi, slice of life|
Space Pirate Mito||4.25|action, adventure, comedy, sci-fi|
Ninja Girl & Samurai Master|79|4.67|action, adventure, comedy, historical|
Photon the Idiot Adventures||3.5|action, adventure, comedy, harem, sci-fi|
Web Ghosts PiPoPa||4.59|action, adventure, comedy, fantasy, supernatural|
Zettai Boei Leviatan|13|3.52|action, adventure, comedy, fantasy, slice of life|
GeGeGe no Kitaro|95|4.44|action, adventure, comedy, fantasy, shonen, supernatural|
Black Clover|127|3.84|action, adventure, comedy, fantasy, shonen|
Zatch Bell!||4.45|action, adventure, comedy, fantasy, shonen|
Black Clover (Dublagens Internacionais)|52|4.91|action, adventure, comedy, fantasy, shonen|
Cardcaptor Sakura||4.77|action, adventure, comedy, fantasy, shojo|
World Conquest Zvezda Plot|12|4.21|action, adventure, comedy, fantasy, sci-fi, shonen|
Re:ZERO -Starting Life in Another World- SHORTS|25|4.21|action, adventure, comedy, fantasy, isekai, romance, slice of life|
Outbreak Company||4.42|action, adventure, comedy, fantasy, harem, isekai, romance|
MAGICAL CIRCLE GURU-GURU|24|4.68|action, adventure, comedy, fantasy|
Last Period: the journey to the end of the despair|12|3.15|action, adventure, comedy, fantasy|
Jubei-chan: The Ninja Girl||3.5|action, adventure, comedy, drama, shonen|
Dr. STONE|25|4.65|action, adventure, comedy, drama, postapocalyptic, sci-fi, shonen|
KILL la KILL|24|4.6|action, adventure, comedy, drama, mechas, postapocalyptic, sci-fi, shonen|
Re:ZERO -Starting Life in Another World-|63|4.55|action, adventure, comedy, drama, fantasy, isekai, romance|
Koihime Musou||4.75|action, adventure|
No. 6||4.68|action, adventure|
In Another World With My Smartphone|24|3.46|action, adventure|
The Magnificent KOTOBUKI|12|3.96|action, adventure|
Izumo: Flash of a Brave Sword|||action, adventure|
Shin Koihime Musou||4.76|action|
Shin Koihime Musou - Otome Tairan||4.77|action|
Star Driver||4.61|action|
Kite Liberator||4.35|action|
Cardfight!! Vanguard Link Joker (Season 3)||4.29|action|
BAKUMATSU|24|2.33|action|
Angel Heart||4.88|action|
Cardfight!! Vanguard Legion Mate (Season 4)||3.71|action|
Street Fighter II: The Animated Series||2.83|action|
Street Fighter II The Animated Movie||4.8|action|
CARDFIGHT!! VANGUARD||5|action|
